Sample A,Sample B,U Statistic,p-value,Significant?
Arsine_2,MH-7,8654.5,8.014306487187624e-10,✅
Arsine_6,SO2_3,3011.0,8.181436350592584e-10,✅
HCHO_3,MH-7,8647.5,8.822812752236166e-10,✅
HCHO_4,Arsine_2,3017.0,8.877070663279208e-10,✅
Phosphine_4,H2S_2,8644.5,9.191840554422927e-10,✅
Control_1_2min,MH-7,8644.5,9.192156132235613e-10,✅
Diborane_5,Phosphine_4,3021.5,9.446969054322646e-10,✅
HCHO_6,Arsine_6,8641.5,9.574157052396458e-10,✅
Arsine_2,Arsine_3,8641.0,9.635130807818238e-10,✅
Phosphine_4,H2S_1,8638.5,9.977312329389919e-10,✅
Diborane_3,HCN_4,8630.5,1.112626135611171e-09,✅
HCHO_2,HNO3_6,8547.5,1.2685069215213352e-09,✅
Phosphine_4,MH-2,8618.5,1.3094297450129337e-09,✅
Diborane_7,HCN_1,8618.5,1.3094738929903479e-09,✅
Arsine_6,H2S_6,3050.5,1.4003072375279656e-09,✅
HCHO_1,Phosphine_5,3055.0,1.4889585883158236e-09,✅
Phosphine_1,Phosphine_7,8608.5,1.499080383270361e-09,✅
Diborane_3,Diborane_4,8608.0,1.5093870785056861e-09,✅
HCHO_1,Arsine_2,3057.5,1.5398818463072201e-09,✅
Arsine_5,Control_4_2min,3061.0,1.6144921134798832e-09,✅
Arsine_6,SO2_4,3066.0,1.7269856784837618e-09,✅
Diborane_3,Phosphine_5,8589.0,1.9489888185495947e-09,✅
Diborane_3,SO2_4,8587.0,2.0021624487516897e-09,✅
Phosphine_4,Phosgene_3,8584.5,2.0702275947239007e-09,✅
Arsine_7,Diborane_3,3081.0,2.1122266524614066e-09,✅
Phosphine_4,Phosgene_4,8582.0,2.1405218206032564e-09,✅
Diborane_3,TA_7,8581.5,2.1551261038162393e-09,✅
Diborane_7,SO2_6,8576.0,2.319578484216531e-09,✅
Arsine_6,SO2_5,3092.0,2.4464088617500374e-09,✅
Control_4_2min,Phosphine_7,8572.0,2.4464354672980397e-09,✅
Diborane_1,Phosphine_3,3095.5,2.5630569398642676e-09,✅
Diborane_7,HCN_2,8567.0,2.6152175904153446e-09,✅
Arsine_7,Phosphine_6,8565.0,2.685725910560726e-09,✅
HCHO_3,Arsine_3,8556.5,3.0064494992458983e-09,✅
HCHO_2,Diborane_1,8478.5,3.218592531367318e-09,✅
Phosphine_3,HNO3_6,8545.0,3.501107448338807e-09,✅
Arsine_7,MH-6,8544.5,3.5242318981217852e-09,✅
Phosphine_3,MH-5,8539.0,3.789385990252263e-09,✅
HCHO_3,Diborane_3,3126.5,3.8652058029860745e-09,✅
Diborane_3,HCN_3,8537.5,3.865246812041928e-09,✅
Diborane_3,Ammonia_1,8535.0,3.994794635645862e-09,✅
Phosphine_5,MH-6,8532.0,4.154923346316507e-09,✅
HCHO_7,Arsine_6,8529.0,4.321977635170348e-09,✅
HCHO_3,HCHO_4,8527.0,4.43731793030632e-09,✅
HCHO_3,Phosphine_7,8525.5,4.525818831581017e-09,✅
HCHO_2,MH-5,8452.0,4.575057089118885e-09,✅
Arsine_4,Phosphine_4,3139.5,4.585337276604444e-09,✅
Phosphine_5,Phosphine_6,8519.5,4.895415862819427e-09,✅
Control_4_2min,MH-7,8518.5,4.960229861045248e-09,✅
Phosphine_4,H2S_6,8514.5,5.226571385943875e-09,✅
HCHO_4,Control_1_2min,3150.5,5.294872998178228e-09,✅
Arsine_5,Control_5_2min,3152.0,5.4004756210670525e-09,✅
Control_1_2min,MH-6,8508.5,5.652735604348437e-09,✅
Phosphine_4,H2S_4,8505.5,5.877790840900349e-09,✅
Arsine_2,Phosphine_6,8504.5,5.954543354976049e-09,✅
Diborane_3,Hydrazine_2,8499.5,6.355990906376938e-09,✅
Arsine_2,MH-6,8494.5,6.7807812945893705e-09,✅
Diborane_3,TA_1,8494.0,6.826460823183639e-09,✅
Arsine_6,H2S_4,3175.0,7.281702080535663e-09,✅
Control_1_2min,Phosphine_4,3176.5,7.425953466115557e-09,✅
Phosphine_3,Phosgene_1,8486.0,7.571664928832582e-09,✅
Diborane_3,Ammonia_2,8486.0,7.572206609525982e-09,✅
Arsine_6,H2S_1,3179.0,7.669850304064566e-09,✅
Diborane_3,SO2_3,8485.0,7.670320278077717e-09,✅
Diborane_3,HCN_7,8481.5,8.02526822054106e-09,✅
Arsine_3,Control_1_2min,3183.0,8.076521075497406e-09,✅
Phosphine_3,MH-4,8479.5,8.234794295768461e-09,✅
Control_7_2min,Phosphine_3,3185.5,8.342008856361034e-09,✅
HCHO_3,MH-6,8469.0,9.428369510257257e-09,✅
Phosphine_1,MH-7,8465.0,9.92544685971253e-09,✅
Diborane_3,Ammonia_7,8463.5,1.0118825277654558e-08,✅
Arsine_6,HCN_6,3201.0,1.0180377341885007e-08,✅
HCHO_3,HNO3_6,8458.5,1.0788680143136548e-08,✅
Diborane_7,HCN_4,8454.5,1.1355160602675894e-08,✅
