Sample A,Sample B,U Statistic,p-value,Significant?
DM_2,Ammonia_7,5701.0,0.7762955051949869,❌
HCl_3,HCl_7,5963.0,0.7762955051949869,❌
DM_2,HCl_7,5701.0,0.7762955051949869,❌
H2S_3,MH-2,5962.5,0.7771295313497184,❌
Control_1_2min,HF_3,5962.5,0.7771295959438661,❌
Diborane_2,HNO3_3,5701.5,0.7771295959438661,❌
DM_6,HCl_6,5701.5,0.7771298543198951,❌
HF_7,HNO3_1,5702.0,0.7779630450308378,❌
HCN_1,HF_2,5702.0,0.7779640748882847,❌
MH-7,Hydrazine_5,5962.0,0.777964396715799,❌
HCl_1,HF_4,5962.0,0.777964396715799,❌
Control_7_2min,HF_2,5702.0,0.7779644610811339,❌
HCl_1,NO2_2,5702.0,0.7779645254464129,❌
HCl_3,HCl_4,5702.0,0.7779645898116361,❌
HCHO_5,H2S_2,5961.5,0.7787985549270661,❌
Phosgene_1,Phosgene_5,5702.5,0.7787990680226022,❌
Phosphine_6,TA_4,5702.5,0.7787993887054998,❌
HCHO_3,F2_4,5961.5,0.7787993887054998,❌
TA_2,F2_2,5703.0,0.7796344438730269,❌
Phosphine_6,HF_1,5961.0,0.7796345077804614,❌
Ammonia_6,HCl_7,5961.0,0.7796346355951635,❌
Arsine_1,HF_3,5703.5,0.7804691176180422,❌
MH-5,Hydrazine_1,5703.5,0.7804692449755641,❌
Phosgene_5,MA_1,5960.5,0.7804698817598499,❌
Arsine_3,Phosphine_7,5960.0,0.7813043676462288,❌
Phosgene_2,Phosgene_6,5704.0,0.7813054462826298,❌
MA_7,HCl_3,5704.0,0.7813056366285738,❌
HCHO_5,HF_3,5704.0,0.7813057000771113,❌
SO2_4,HNO3_3,5704.0,0.7813057000771113,❌
Cl2_1,Cl2_3,5960.0,0.7813057635255936,❌
MA_3,HCl_1,5704.0,0.7813057635255936,❌
MA_6,NO2_6,5704.0,0.7813057635255936,❌
HCN_2,HF_7,5959.5,0.7821404424908172,❌
Control_6_2min,MA_4,5959.5,0.7821408218086549,❌
Phosgene_4,HCN_4,5704.5,0.7821410114668309,❌
H2S_1,H2S_4,5704.5,0.7821412011245117,❌
Phosgene_2,TA_4,5959.5,0.7821415804383879,❌
DM_7,HF_3,5704.5,0.7821416436571746,❌
Diborane_1,Ammonia_3,5705.0,0.7829771460614824,❌
TA_1,Ammonia_4,5959.0,0.7829777759526677,❌
DM_1,Ammonia_2,5705.0,0.7829777759526677,❌
Ammonia_5,Hydrazine_4,5959.0,0.7829778389414848,❌
HCl_6,MH-2,5959.0,0.7829778389414848,❌
MA_6,HF_6,5959.0,0.7829779019302469,❌
F2_2,NO2_3,5959.0,0.7829779649189541,❌
H2S_6,HF_3,5705.5,0.783813594666499,❌
TA_7,Ammonia_3,5958.5,0.7838140967383711,❌
Ammonia_3,Ammonia_5,5958.5,0.7838140967383711,❌
TA_1,HCl_7,5958.0,0.7846509184312724,❌
Ammonia_6,NO2_6,5706.0,0.7846509809594956,❌
MA_7,HCN_6,5706.5,0.7854875520729342,❌
HCHO_6,MA_6,5957.5,0.7854876143708062,❌
H2S_1,Ammonia_6,5957.5,0.7854877389663872,❌
MH-7,Hydrazine_3,5706.5,0.7854878012640965,❌
HCN_3,HCN_4,5957.0,0.7863241257210896,❌
DM_1,MH-6,5707.0,0.7863249325953233,❌
HCHO_3,F2_5,5957.0,0.7863249946621935,❌
NO2_1,HF_2,5957.0,0.7863251187957718,❌
Phosgene_7,MA_6,5707.0,0.7863251808624798,❌
NO2_3,HF_2,5957.0,0.7863252429291337,❌
Arsine_6,Hydrazine_4,5707.5,0.7871613221252736,❌
HCl_6,HF_1,5956.5,0.7871626206853308,❌
HCl_2,NO2_7,5956.5,0.7871626206853308,❌
H2S_5,TA_6,5956.0,0.7880001834966901,❌
SO2_3,HF_3,5956.0,0.7880001834966901,❌
F2_3,F2_4,5708.0,0.7880002451011301,❌
H2S_3,HF_5,5708.0,0.7880002451011301,❌
HCl_4,SO2_7,5956.0,0.7880003067055162,❌
HCl_5,HF_7,5956.0,0.7880003067055162,❌
HCl_2,F2_3,5708.0,0.7880003683098488,❌
Control_7_2min,H2S_2,5708.5,0.7888375015238646,❌
H2S_4,NO2_6,5955.5,0.7888377470175145,❌
F2_3,NO2_3,5955.5,0.7888382380022466,❌
TA_4,HCl_6,5708.5,0.7888382380022466,❌
H2S_1,HCN_2,5709.0,0.7896759245227146,❌
Ammonia_2,Hydrazine_6,5955.0,0.7896761690887246,❌
TA_7,HNO3_7,5955.0,0.7896762913714097,❌
HCl_3,HF_3,5955.0,0.7896764136538816,❌
MA_3,HF_1,5955.0,0.7896764747950377,❌
HF_3,HNO3_3,5954.5,0.7905147718286305,❌
Hydrazine_2,Hydrazine_5,5954.5,0.7905148327379325,❌
Arsine_3,HF_1,5954.0,0.7913528268791377,❌
SO2_1,HF_4,5954.0,0.7913529482345101,❌
HCHO_6,MA_4,5710.0,0.7913529482345101,❌
Phosgene_6,MH-2,5954.0,0.7913531302671718,❌
TA_6,HF_6,5954.0,0.7913533122993571,❌
NO2_5,HNO3_5,5954.0,0.7913533122993571,❌
Ammonia_7,MH-1,5954.0,0.7913533729766463,❌
NO2_6,HCN_4,5710.0,0.7913533729766463,❌
F2_5,SO2_7,5710.0,0.7913534336538827,❌
HCl_5,NO2_1,5710.0,0.7913534336538827,❌
MA_4,HF_5,5710.0,0.791353494331066,❌
Ammonia_6,HCN_7,5710.5,0.7921916721673781,❌
NO2_1,HCN_1,5953.5,0.792192095284309,❌
H2S_1,HF_3,5710.5,0.7921922766193455,❌
Control_3_2min,TA_5,5953.0,0.7930305779436999,❌
MA_4,HCN_3,5711.0,0.7930308187957955,❌
MA_1,SO2_1,5711.0,0.793031119859733,❌
Phosgene_6,NO2_6,5711.0,0.7930314209223568,❌
TA_3,NO2_6,5711.0,0.7930314209223568,❌
Phosphine_3,HCl_2,5953.0,0.7930314209223568,❌
HNO3_6,Hydrazine_6,5711.0,0.793031481134724,❌
HCHO_1,HCHO_4,5711.5,0.7938701451805706,❌
H2S_6,DM_7,5952.5,0.7938702651409069,❌
HF_4,HF_7,5711.5,0.7938702651409069,❌
MA_4,SO2_6,5711.5,0.7938705050609508,❌
HCl_3,HCN_4,5711.5,0.7938708049598281,❌
Control_7_2min,NO2_7,5952.5,0.7938708049598281,❌
HCN_7,HF_7,5952.0,0.7947098900827764,❌
Phosgene_2,NO2_6,5712.0,0.7947103083115955,❌
Phosgene_1,MA_6,5712.0,0.7947103680583609,❌
Ammonia_3,Ammonia_4,5712.0,0.7947104875517357,❌
HCHO_7,HCN_1,5713.0,0.7963899712456837,❌
HCHO_1,Ammonia_4,5951.0,0.7963903862080061,❌
HCl_4,NO2_3,5951.0,0.796390564048225,❌
HCHO_5,H2S_4,5950.5,0.7972301294398793,❌
DM_7,HCN_2,5713.5,0.7972301884869418,❌
H2S_4,DM_7,5950.5,0.7972304246746765,❌
DM_3,TA_7,5713.5,0.7972306018149361,❌
Ammonia_6,HCl_5,5713.5,0.7972307789547315,❌
DM_4,MA_2,5713.5,0.7972307789547315,❌
TA_5,HCl_3,5713.5,0.7972308380012267,❌
Phosphine_1,HNO3_3,5950.5,0.7972308380012267,❌
Control_7_2min,HCN_2,5714.0,0.7980709946365413,❌
HCN_4,HF_3,5714.0,0.7980711122625312,❌
HCN_7,HF_2,5714.0,0.7980711122625312,❌
TA_2,HCl_5,5950.0,0.7980712298883156,❌
MA_4,HF_1,5950.0,0.7980712887011308,❌
HCl_2,F2_2,5714.0,0.7980714651392677,❌
HCHO_4,Phosgene_2,5714.5,0.7989113887067362,❌
Phosgene_4,HCl_3,5949.5,0.7989119159194057,❌
HCl_2,F2_5,5714.5,0.7989121502348169,❌
Arsine_1,HF_2,5715.0,0.7997523693570584,❌
F2_3,SO2_4,5949.0,0.7997531861858818,❌
Cl2_1,Cl2_4,5949.0,0.7997532445304153,❌
MA_6,TA_1,5948.5,0.8005942219935958,❌
MA_1,MA_6,5715.5,0.8005944544346605,❌
Diborane_5,MA_6,5715.5,0.8005945125447997,❌
H2S_4,HF_3,5716.0,0.8014354910417536,❌
Ammonia_2,Hydrazine_3,5948.0,0.8014356067935979,❌
HCHO_5,MA_4,5948.0,0.8014356646694442,❌
NO2_1,HCN_4,5948.0,0.8014358382966793,❌
Phosgene_6,HCl_6,5948.0,0.8014360697989512,❌
TA_1,MH-2,5947.5,0.802277453528125,❌
SO2_3,HF_2,5947.5,0.8022776264508126,❌
MA_6,HF_7,5716.5,0.8022776840916076,❌
Phosphine_5,HNO3_1,5947.0,0.8031183806917764,❌
Control_4_2min,SO2_2,5717.0,0.8031190121643708,❌
SO2_2,HCN_5,5717.0,0.8031194714133508,❌
Arsine_1,H2S_2,5946.5,0.8039603452783347,❌
TA_1,SO2_1,5946.5,0.8039612600218959,❌
Phosgene_2,SO2_1,5946.5,0.8039613743639409,❌
TA_2,F2_3,5717.5,0.8039616602181782,❌
Diborane_5,HF_7,5717.5,0.8039616602181782,❌
Arsine_7,F2_6,5718.0,0.8048040197117632,❌
DM_7,HF_4,5946.0,0.8048040766471122,❌
Ammonia_5,HNO3_7,5718.0,0.8048041905176606,❌
HCHO_5,HF_7,5946.0,0.8048042474528602,❌
MA_7,SO2_4,5946.0,0.8048043043880099,❌
MA_6,HF_5,5718.0,0.8048043613231097,❌
Control_6_2min,MA_3,5945.5,0.8056464929636123,❌
TA_1,HF_6,5945.5,0.8056467197629187,❌
H2S_1,NO2_6,5945.5,0.8056468331622741,❌
Phosgene_5,TA_4,5945.5,0.8056469465614312,❌
DM_7,HCl_5,5718.5,0.8056469465614312,❌
HCHO_5,HCN_3,5945.0,0.8064893627714463,❌
Phosgene_3,NO2_6,5945.0,0.8064895886275741,❌
Control_1_2min,F2_2,5945.0,0.8064895886275741,❌
Arsine_2,Diborane_6,5944.5,0.8073308829829196,❌
TA_2,SO2_2,5944.5,0.8073324573901061,❌
Phosgene_1,MA_1,5944.5,0.8073325698462857,❌
TA_6,HCl_6,5719.5,0.807332850985873,❌
DM_7,HF_2,5719.5,0.8073329072136429,❌
Cl2_5,F2_7,5720.0,0.8081760558391383,❌
NO2_3,SO2_4,5943.5,0.8090196518332667,❌
HCl_7,HF_2,5720.5,0.8090197633437197,❌
HCN_5,HF_2,5943.0,0.8098633583055218,❌
NO2_7,SO2_6,5721.0,0.8098634138242453,❌
H2S_1,HF_5,5943.0,0.8098635248615463,❌
Phosgene_7,SO2_1,5942.5,0.8107068440401168,❌
HF_5,HNO3_1,5721.5,0.8107071757337271,❌
Diborane_4,SO2_3,5721.5,0.810707231015826,❌
HCl_5,HF_5,5942.5,0.810707507425594,❌
HCHO_7,NO2_7,5722.0,0.8115514899133032,❌
Hydrazine_2,Hydrazine_7,5942.0,0.811551655048276,❌
HCl_2,HCl_5,5942.0,0.8115517651380166,❌
Control_5_2min,Diborane_2,5941.5,0.8123955290330314,❌
Diborane_6,F2_1,5941.5,0.8123958578816338,❌
HCHO_3,F2_6,5722.5,0.8123960771130749,❌
DM_6,DM_7,5722.5,0.8123961319208152,❌
DM_4,Hydrazine_1,5723.0,0.8132401716873313,❌
MA_6,NO2_5,5723.0,0.8132407719643033,❌
HCHO_5,HF_2,5723.0,0.8132407719643033,❌
MA_6,HCl_6,5723.5,0.814085520612884,❌
H2S_3,HCl_6,5940.5,0.8140856292786491,❌
Phosphine_1,SO2_5,5940.0,0.8149302160602021,❌
MH-3,HF_1,5724.0,0.8149304324419678,❌
Control_1_2min,HCN_6,5940.0,0.8149304324419678,❌
MA_1,Ammonia_4,5940.0,0.814930702918108,❌
MA_4,HCl_6,5724.5,0.8157759380789619,❌
Ammonia_7,HF_1,5724.5,0.8157759919361806,❌
Cl2_5,NO2_4,5939.5,0.8157759919361806,❌
F2_4,NO2_4,5725.0,0.816621549004685,❌
Control_1_2min,HCN_5,5725.5,0.8174668386516445,❌
DM_6,NO2_5,5725.5,0.8174671589375873,❌
DM_7,MA_6,5938.5,0.8174672123184137,❌
Arsine_4,Control_5_2min,5726.0,0.8183122383595307,❌
HCN_2,HF_2,5726.0,0.8183126103602267,❌
NO2_2,HCN_7,5938.0,0.8183130355010817,❌
MA_4,NO2_6,5726.0,0.8183130886434786,❌
Arsine_1,HCN_3,5937.5,0.8191574840869158,❌
Control_4_2min,SO2_3,5726.5,0.8191584892781698,❌
Phosphine_7,TA_4,5726.5,0.819159124127169,❌
NO2_1,SO2_4,5726.5,0.8191591770309504,❌
Arsine_2,F2_5,5937.0,0.8200046338859194,❌
F2_1,HCN_5,5937.0,0.8200052658709571,❌
H2S_3,H2S_7,5937.0,0.8200054765311573,❌
TA_4,HF_6,5937.0,0.8200055291960917,❌
Ammonia_3,HF_1,5727.0,0.8200055818609799,❌
DM_7,HCl_1,5727.0,0.820005634525822,❌
H2S_5,HCl_5,5937.0,0.8200056871906178,❌
Diborane_5,H2S_3,5728.0,0.821698809440913,❌
Phosgene_7,H2S_3,5728.0,0.8216989660008429,❌
MA_3,HCl_6,5728.0,0.8216990181873947,❌
HCN_3,HNO3_5,5935.5,0.822545268567122,❌
NO2_7,HNO3_1,5728.5,0.8225454763578426,❌
DM_6,HF_5,5728.5,0.8225457360952171,❌
Diborane_1,DM_3,5728.5,0.8225457880425552,❌
H2S_1,HF_2,5728.5,0.8225458919370944,❌
DM_6,HF_1,5935.5,0.8225459438842956,❌
MA_5,HCl_4,5728.5,0.8225459438842956,❌
Control_4_2min,Control_5_2min,5935.0,0.8233920944333226,❌
NO2_3,HNO3_1,5935.0,0.8233928700558463,❌
MA_3,SO2_6,5729.0,0.8233930251791248,❌
TA_3,HF_4,5935.0,0.8233930768867935,❌
HCl_3,HCl_6,5935.0,0.8233931803019947,❌
HCl_5,HCl_6,5935.0,0.8233931803019947,❌
Control_2_2min,NO2_1,5934.5,0.8242398500915665,❌
HCHO_6,HCN_4,5730.0,0.8250876023971637,❌
Control_4_2min,HCN_6,5730.0,0.8250876023971637,❌
HCN_3,HF_5,5934.0,0.8250878585383681,❌
F2_2,F2_5,5730.0,0.8250880122225507,❌
F2_2,HCN_5,5934.0,0.8250880634505215,❌
TA_6,HCl_7,5934.0,0.8250881146784473,❌
HCl_5,NO2_7,5730.0,0.8250881659063282,❌
SO2_5,HNO3_3,5933.5,0.8259357611788934,❌
Control_5_2min,F2_1,5731.0,0.8267835613798025,❌
MA_5,F2_2,5933.0,0.8267838658658088,❌
HCHO_4,HF_4,5932.5,0.8276308584450569,❌
HCN_1,HCN_3,5731.5,0.8276312625086397,❌
Diborane_6,TA_2,5932.5,0.8276316665693813,❌
TA_6,SO2_1,5932.5,0.8276318180914268,❌
H2S_5,NO2_5,5932.5,0.8276319696130728,❌
DM_5,TA_7,5731.5,0.8276320201201994,❌
Arsine_1,H2S_4,5932.0,0.8284788679338985,❌
MA_4,HF_7,5732.0,0.8284800743489316,❌
H2S_2,HF_3,5732.0,0.8284801246156722,❌
MH-6,Hydrazine_3,5932.0,0.828480225149021,❌
Ammonia_7,MH-3,5732.0,0.8284802754156292,❌
H2S_1,HCN_4,5932.0,0.8284803256821931,❌
MA_2,Ammonia_5,5932.0,0.8284804764816196,❌
Ammonia_1,HNO3_6,5932.0,0.8284805267480068,❌
DM_6,MA_3,5732.0,0.8284805770143497,❌
Diborane_5,TA_4,5932.0,0.8284805770143497,❌
HCHO_4,SO2_1,5931.5,0.8293282820557254,❌
HCN_4,HCN_7,5931.5,0.8293284821605189,❌
H2S_2,NO2_7,5931.5,0.8293287322905212,❌
HCN_7,HF_3,5732.5,0.8293287823163896,❌
H2S_4,HF_2,5732.5,0.8293287823163896,❌
Phosgene_3,HF_2,5732.5,0.8293289323937312,❌
HF_3,HF_5,5931.5,0.8293290824706769,❌
HF_3,HF_7,5931.0,0.8301777382816673,❌
DM_1,MH-7,5931.0,0.8301777880663574,❌
TA_1,HCl_6,5733.0,0.830177837851004,❌
Phosphine_4,Cl2_4,5931.0,0.830177837851004,❌
F2_2,F2_4,5733.0,0.8301778876356066,❌
DM_5,Ammonia_5,5931.0,0.8301778876356066,❌
Cl2_7,F2_6,5930.5,0.8310269405602481,❌
Phosphine_5,F2_6,5734.0,0.8318757465387661,❌
DM_6,HNO3_5,5734.0,0.8318760423521376,❌
MA_3,HF_5,5734.0,0.8318760916542145,❌
HCl_4,F2_6,5734.0,0.8318761902582379,❌
H2S_4,HF_5,5929.5,0.8327251942227518,❌
Phosgene_2,MH-2,5929.5,0.832725243283522,❌
MH-5,Hydrazine_4,5929.5,0.8327253414049332,❌
HCHO_1,Diborane_5,5734.5,0.8327253904655739,❌
HCl_1,HNO3_5,5929.5,0.8327254395261715,❌
HCl_6,HNO3_5,5929.5,0.8327254885867259,❌
MA_7,HNO3_1,5735.0,0.8335744950236255,❌
Arsine_3,TA_4,5735.0,0.8335745926622481,❌
Control_6_2min,NO2_2,5929.0,0.8335750320339234,❌
Ammonia_3,HCl_7,5735.0,0.8335750808527835,❌
DM_3,Ammonia_4,5735.0,0.8335751784903751,❌
Control_2_2min,HNO3_5,5928.0,0.8352738808283805,❌
Arsine_4,Diborane_2,5928.0,0.8352738808283805,❌
Diborane_1,MH-4,5736.0,0.8352744125194873,❌
Phosgene_4,MA_3,5736.0,0.8352747025306484,❌
Diborane_5,HCl_3,5736.0,0.8352748475356546,❌
Hydrazine_2,Hydrazine_3,5736.0,0.8352748475356546,❌
HCl_5,NO2_2,5736.0,0.835274944205446,❌
Cl2_3,Cl2_5,5928.0,0.835274944205446,❌
Control_2_2min,Phosphine_2,5736.5,0.836124106256249,❌
Diborane_6,HCl_4,5736.5,0.8361249719330731,❌
DM_6,TA_4,5927.5,0.8361249719330731,❌
Ammonia_1,MH-7,5927.5,0.8361249719330731,❌
Phosgene_5,MA_6,5736.5,0.8361250681185401,❌
Arsine_4,Phosphine_2,5927.0,0.8369747619380302,❌
HCl_5,HNO3_1,5737.0,0.836975192594495,❌
Phosgene_3,HF_5,5927.0,0.836975192594495,❌
Phosgene_4,MA_6,5927.0,0.8369752404450026,❌
Diborane_5,NO2_5,5737.0,0.8369753361458916,❌
HCl_2,SO2_2,5927.0,0.8369754318466119,❌
Cl2_2,Cl2_4,5737.0,0.8369754796969089,❌
NO2_7,HNO3_3,5927.0,0.8369754796969089,❌
MA_4,NO2_5,5737.5,0.8378258908741449,❌
MA_7,HF_2,5737.5,0.837825938481985,❌
HCHO_5,H2S_6,5926.0,0.8386762562296025,❌
Ammonia_6,HF_7,5738.0,0.8386763035950682,❌
Ammonia_1,Hydrazine_4,5738.0,0.8386765877869866,❌
Phosgene_7,HF_7,5738.0,0.8386766825172922,❌
Ammonia_6,HCl_1,5738.0,0.8386766825172922,❌
MA_5,F2_5,5926.0,0.8386767298823825,❌
Control_6_2min,HNO3_5,5925.5,0.8395270025432678,❌
Control_7_2min,Ammonia_6,5925.5,0.8395274266465769,❌
F2_1,F2_3,5925.5,0.8395276151358572,❌
HCl_2,NO2_4,5738.5,0.8395276622580734,❌
HF_4,HF_6,5925.0,0.8403783134562293,❌
Arsine_1,HF_5,5925.0,0.8403783134562293,❌
H2S_6,HF_5,5925.0,0.8403784540947516,❌
Phosgene_1,Phosgene_2,5739.0,0.8403785478535601,❌
Phosgene_5,HF_7,5739.0,0.8403787822498585,❌
MA_7,TA_2,5739.5,0.8412297624374054,❌
DM_2,DM_4,5924.5,0.8412300422541087,❌
HNO3_6,Hydrazine_5,5924.0,0.8420815348178279,❌
TA_5,Ammonia_6,5924.0,0.8420815812104341,❌
MA_6,HF_1,5924.0,0.8420816276029992,❌
Arsine_6,MH-7,5923.5,0.8429325198518549,❌
Diborane_5,HF_4,5923.5,0.8429329351975662,❌
Phosgene_4,MA_4,5740.5,0.8429329813468863,❌
HCl_5,HNO3_5,5923.5,0.8429332120928765,❌
HCHO_4,Phosgene_5,5741.0,0.8437846140535783,❌
H2S_7,SO2_1,5923.0,0.8437847517708229,❌
Hydrazine_4,Hydrazine_6,5923.0,0.8437847517708229,❌
MA_2,Ammonia_7,5741.0,0.8437851649203717,❌
DM_7,HCl_7,5923.0,0.8437851649203717,❌
HCHO_4,MH-2,5741.5,0.8446360210090564,❌
HCHO_7,H2S_1,5741.5,0.8446367059422856,❌
Cl2_2,F2_7,5741.5,0.844636979913041,❌
HCl_7,MH-5,5922.5,0.844637071236304,❌
H2S_1,NO2_1,5741.5,0.8446371168978752,❌
TA_5,HF_5,5741.5,0.844637162559406,❌
HCN_2,HF_5,5922.0,0.8454890699807269,❌
HCHO_4,HCl_6,5922.0,0.8454890699807269,❌
Phosphine_7,SO2_1,5742.0,0.8454891608162024,❌
DM_2,HF_6,5742.0,0.8454892516515178,❌
Phosgene_5,H2S_3,5742.0,0.8454892516515178,❌
HNO3_2,HNO3_7,5922.0,0.8454892970691154,❌
NO2_1,NO2_2,5922.0,0.8454894333216677,❌
NO2_6,HF_2,5742.5,0.846341748904502,❌
Phosgene_1,TA_6,5743.0,0.847194065604282,❌
Control_6_2min,HF_3,5743.0,0.8471941105335329,❌
SO2_3,HCN_6,5743.0,0.8471942003919157,❌
Ammonia_3,HNO3_2,5743.0,0.8471942453210477,❌
DM_3,HF_1,5743.0,0.8471944250371796,❌
HCN_2,HNO3_5,5920.5,0.8480462513245012,❌
F2_2,SO2_3,5920.5,0.8480470556533808,❌
TA_4,HCl_7,5920.0,0.848900132287042,❌
MA_3,TA_3,5920.0,0.848900132287042,❌
DM_3,HCl_7,5744.0,0.848900132287042,❌
HCl_2,NO2_2,5920.0,0.848900132287042,❌
DM_2,MH-1,5744.5,0.8497530750230162,❌
TA_3,HCl_5,5744.5,0.8497532076083593,❌
Diborane_5,Phosgene_5,5744.5,0.8497532076083593,❌
DM_2,DM_5,5744.5,0.8497532076083593,❌
DM_5,Hydrazine_1,5919.0,0.8506060638283368,❌
NO2_6,HCN_1,5745.0,0.8506061077788036,❌
Phosgene_3,TA_3,5919.0,0.8506062835802831,❌
F2_1,SO2_3,5919.0,0.850606327530556,❌
HF_6,HNO3_2,5919.0,0.8506064154309856,❌
H2S_5,HCl_1,5919.0,0.8506065033312598,❌
NO2_2,HF_3,5919.0,0.8506065033312598,❌
Arsine_6,HCl_7,5745.5,0.851459493283427,❌
Arsine_3,Ammonia_4,5918.0,0.8523131407012555,❌
Phosphine_7,HNO3_2,5918.0,0.8523134449213164,❌
HCl_7,HF_7,5746.0,0.8523136187605073,❌
Control_3_2min,NO2_1,5917.5,0.8531669179400464,❌
HCHO_6,NO2_7,5746.5,0.85316726365691,❌
Phosgene_6,HCl_5,5917.5,0.8531674365144261,❌
Arsine_6,DM_1,5917.0,0.8540205239734904,❌
MA_1,MH-2,5917.0,0.8540207817899835,❌
SO2_5,HNO3_4,5747.0,0.8540212544500068,❌
TA_2,NO2_2,5917.0,0.8540212974188721,❌
Phosgene_2,HCl_5,5917.0,0.854021383356489,❌
H2S_7,HCl_6,5917.0,0.8540214692939542,❌
H2S_7,TA_4,5917.0,0.8540214692939542,❌
HCl_3,NO2_6,5916.5,0.8548755444921877,❌
DM_6,HF_7,5747.5,0.8548755444921877,❌
Arsine_6,Hydrazine_3,5916.0,0.855728389004675,❌
Control_7_2min,HCN_1,5916.0,0.8557292810447044,❌
MA_6,TA_6,5916.0,0.8557299182060241,❌
Arsine_3,Phosphine_6,5915.5,0.8565838693110257,❌
H2S_6,HF_2,5748.5,0.8565839537741593,❌
F2_6,SO2_7,5915.5,0.8565843760875889,❌
HCl_1,HNO3_4,5748.5,0.8565843760875889,❌
DM_5,Ammonia_4,5748.5,0.8565844183187266,❌
HCl_3,NO2_3,5748.5,0.8565844183187266,❌
Cl2_4,Cl2_7,5915.5,0.8565844183187266,❌
Arsine_4,NO2_3,5749.0,0.8574389186337027,❌
Phosgene_5,Phosgene_6,5749.0,0.8574389606187823,❌
MA_5,NO2_4,5749.0,0.8574390445888302,❌
TA_7,HF_1,5749.0,0.8574390445888302,❌
HCl_3,NO2_5,5915.0,0.8574390865737985,❌
HCl_4,F2_4,5749.0,0.8574391285587297,❌
H2S_4,NO2_1,5749.5,0.8582935463419331,❌
Ammonia_7,Hydrazine_1,5914.5,0.8582937550362955,❌
HCHO_7,MA_6,5914.5,0.8582937967750573,❌
MH-6,Hydrazine_6,5914.0,0.8591486746363158,❌
NO2_1,HCN_2,5914.0,0.8591487161286864,❌
TA_3,HCN_7,5750.0,0.8591487576210203,❌
DM_6,MA_1,5914.0,0.8591488406055781,❌
HCHO_5,NO2_2,5750.0,0.8591489235899893,❌
HCl_7,HF_6,5914.0,0.8591489235899893,❌
MA_5,F2_3,5914.0,0.8591489650821398,❌
SO2_5,HCN_6,5913.5,0.8600038016693041,❌
Phosphine_7,MA_1,5750.5,0.8600038429151001,❌
F2_1,HCN_6,5913.5,0.8600039254065828,❌
DM_5,MH-4,5913.5,0.8600039254065828,❌
Phosphine_2,NO2_1,5913.5,0.8600040078979196,❌
HCHO_4,DM_6,5751.0,0.860859134414097,❌
Control_7_2min,HCN_3,5751.0,0.860859134414097,❌
Phosgene_7,TA_4,5913.0,0.8608593394089328,❌
Control_7_2min,MA_3,5751.0,0.8608593804077912,❌
H2S_5,Ammonia_6,5751.5,0.8617146711479702,❌
HCN_4,HF_2,5751.5,0.8617147119000731,❌
MA_3,HNO3_5,5912.5,0.86171475265214,❌
HCl_3,HCN_7,5751.5,0.8617147934041709,❌
HCHO_2,Cl2_7,5698.5,0.8624816524365893,❌
MA_6,SO2_1,5912.0,0.8625704101466534,❌
HCl_7,MH-3,5752.0,0.8625704506516407,❌
H2S_5,HF_5,5752.0,0.8625704506516407,❌
Phosgene_3,NO2_2,5752.0,0.8625704506516407,❌
DM_1,Hydrazine_4,5752.0,0.8625704911565923,❌
HCl_6,HF_4,5912.0,0.8625705316615082,❌
Phosgene_7,MA_1,5912.0,0.8625705316615082,❌
NO2_1,NO2_7,5912.0,0.8625706126712324,❌
HCHO_2,Cl2_2,5699.0,0.8633434742051764,❌
HCN_3,HF_2,5752.5,0.8634261081374303,❌
HCl_6,HNO3_4,5752.5,0.8634263899420399,❌
Arsine_6,Hydrazine_2,5911.0,0.8642819678975725,❌
NO2_6,HNO3_3,5753.0,0.8642822879820689,❌
NO2_2,HF_2,5911.0,0.8642824080131712,❌
HCl_2,HCl_3,5911.0,0.8642824080131712,❌
HCHO_2,NO2_4,5700.0,0.8650675224271765,❌
Arsine_1,MA_4,5910.5,0.8651373919895805,❌
Control_2_2min,Diborane_2,5753.5,0.865137511281022,❌
Control_3_2min,HF_3,5753.5,0.8651380679702304,❌
H2S_1,H2S_6,5753.5,0.8651382270230238,❌
H2S_1,HCN_3,5753.5,0.8651382270230238,❌
H2S_6,NO2_1,5753.5,0.8651382667861343,❌
Ammonia_2,MH-6,5910.5,0.8651383463122496,❌
Phosgene_5,HCl_6,5910.5,0.8651385053640582,❌
HCHO_5,Arsine_1,5910.0,0.865994366370281,❌
HCl_7,HF_5,5754.0,0.8659948405556648,❌
TA_5,HCN_3,5755.0,0.8677076682959253,❌
MA_4,TA_3,5909.0,0.8677077853552118,❌
HF_1,HF_4,5755.0,0.8677078243749048,❌
DM_5,HCl_7,5755.0,0.8677079024141874,❌
DM_6,TA_3,5755.0,0.8677079024141874,❌
SO2_4,HF_2,5909.0,0.8677079024141874,❌
HCHO_4,Phosgene_7,5755.5,0.8685641240650784,❌
Phosgene_3,HCN_7,5908.5,0.8685641628371257,❌
HCHO_1,Phosgene_1,5755.5,0.8685642016091387,❌
DM_4,MH-5,5755.5,0.8685645117840072,❌
TA_4,TA_6,5755.5,0.8685645893273812,❌
TA_4,Ammonia_4,5908.5,0.8685646280990168,❌
Phosgene_1,TA_1,5756.0,0.8694212004593947,❌
H2S_6,NO2_7,5908.0,0.8694213545541849,❌
SO2_1,HF_7,5756.0,0.8694213545541849,❌
